Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.304046392440796	0	8.838235	5.007084	33.0	3.0	8.838235294117647	5.00708408192435	3005	3005
2.151456356048584	1	12.072	7.1360226	43.0	4.0	12.072	7.136022421489439	3018	6023
2.976536989212036	2	17.76923	9.661735	53.0	4.0	17.76923076923077	9.661734441912357	3003	9026
3.8042826652526855	3	25.166666	14.178231	69.0	6.0	25.166666666666668	14.178230574448358	3020	12046
4.6701500415802	4	29.330097	13.929356	71.0	6.0	29.33009708737864	13.929355988092246	3021	15067
5.481096029281616	5	34.102272	15.828656	104.0	10.0	34.10227272727273	15.828656243379424	3001	18068
6.292530059814453	6	42.619717	16.725933	92.0	9.0	42.61971830985915	16.725931791288872	3026	21094
6.99129056930542	7	52.86207	20.178896	112.0	19.0	52.86206896551724	20.178896688903748	3066	24160
7.740805149078369	8	54.854546	18.225275	103.0	26.0	54.85454545454545	18.2252753383049	3017	27177
8.553910493850708	9	58.0	17.57183	111.0	30.0	58.0	17.571830603816746	3016	30193
9.446619987487793	10	75.95	23.270098	144.0	34.0	75.95	23.27009883949787	3038	33231
10.247275829315186	11	88.82353	36.176422	161.0	26.0	88.82352941176471	36.17642276419603	3020	36251
10.985174655914307	12	93.48485	48.683968	256.0	42.0	93.48484848484848	48.68396613167806	3085	39336
11.651055335998535	13	92.51515	33.78194	186.0	45.0	92.51515151515152	33.78193995911551	3053	42389
12.332697629928589	14	110.75	35.91918	183.0	51.0	110.75	35.91918011313733	3101	45490
13.204070329666138	15	144.42857	74.01967	329.0	58.0	144.42857142857142	74.01967011967731	3033	48523
14.078019380569458	16	125.041664	77.86499	318.0	49.0	125.04166666666667	77.86498954743539	3001	51524
14.899056911468506	17	139.59091	80.24375	367.0	40.0	139.5909090909091	80.2437531360253	3071	54595
15.72713589668274	18	152.2	73.825195	319.0	48.0	152.2	73.82519894995205	3044	57639
16.664340257644653	19	155.04762	95.68673	446.0	55.0	155.04761904761904	95.68672903479711	3256	60895
17.60981822013855	20	154.28572	105.683784	499.0	31.0	154.28571428571428	105.6837793821256	3240	64135
18.3338782787323	21	111.888885	53.987198	282.0	43.0	111.88888888888889	53.98719555552611	3021	67156
19.028632640838623	22	121.36	60.778866	276.0	43.0	121.36	60.77886474754197	3034	70190
19.772892475128174	23	87.171425	29.44776	191.0	42.0	87.17142857142858	29.447760733965797	3051	73241
20.451034545898438	24	111.666664	55.360767	257.0	39.0	111.66666666666667	55.36076963712494	3015	76256
21.179715633392334	25	96.09091	49.217735	255.0	50.0	96.0909090909091	49.21773740158246	3171	79427
22.003710985183716	26	85.97143	32.606297	190.0	44.0	85.97142857142858	32.60629712563047	3009	82436
22.80405306816101	27	108.67857	51.68452	283.0	48.0	108.67857142857143	51.68451935363554	3043	85479
23.717345476150513	28	91.818184	24.165407	151.0	48.0	91.81818181818181	24.165407965700894	3030	88509
24.64674425125122	29	113.07407	37.202076	198.0	64.0	113.07407407407408	37.20207673009062	3053	91562
25.397534132003784	30	113.48148	32.35837	185.0	62.0	113.48148148148148	32.35837560631384	3064	94626
26.078092575073242	31	143.4762	59.206352	307.0	56.0	143.47619047619048	59.20635346184928	3013	97639
26.716124057769775	32	135.125	54.42067	271.0	63.0	135.125	54.420670475472825	3243	100882
27.44439935684204	33	130.16667	37.754326	207.0	62.0	130.16666666666666	37.7543227841381	3124	104006
28.2965669631958	34	148.33333	52.621143	252.0	77.0	148.33333333333334	52.62113764433573	3115	107121
29.134233236312866	35	181.58824	74.39723	327.0	89.0	181.58823529411765	74.39723178241118	3087	110208
29.927786111831665	36	176.82353	68.566185	331.0	100.0	176.8235294117647	68.56618553855799	3006	113214
30.64901566505432	37	225.06667	160.56088	641.0	69.0	225.06666666666666	160.5608780355774	3376	116590
31.4763503074646	38	330.3	154.66483	726.0	184.0	330.3	154.66483116726957	3303	119893
32.35435724258423	39	290.63635	126.20206	531.0	163.0	290.6363636363636	126.20205496617697	3197	123090
33.16752767562866	40	215.42857	75.23175	392.0	75.0	215.42857142857142	75.23175078735449	3016	126106
34.07473349571228	41	255.61539	87.131676	426.0	120.0	255.6153846153846	87.13167618084046	3323	129429
34.97419261932373	42	450.625	264.4149	885.0	126.0	450.625	264.41489060754503	3605	133034
36.016035079956055	43	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	137034
36.970869302749634	44	823.25	306.13998	1000.0	293.0	823.25	306.1399802377991	3293	140327
38.02123308181763	45	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	144327
39.084317445755005	46	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	148327
40.015146017074585	47	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	152327
40.74735140800476	48	794.75	355.50342	1000.0	179.0	794.75	355.5034282535121	3179	155506
41.685425758361816	49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	159506
42.60289764404297	50	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	163506
43.523584604263306	51	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	167506
44.428271770477295	52	888.0	193.98969	1000.0	552.0	888.0	193.98969044771425	3552	171058
45.42239451408386	53	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	175058
46.31039023399353	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	179058
47.23427700996399	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	183058
48.16681694984436	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	4000	187058
